order_id,customer_id,product_id,quantity,price,order_date,id,name,username,email,address_geo_lat,address_geo_lng,Center,Latitude,Longitude,weather_main,0,weather_description,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_visibility,wind_speed,wind_deg,country,latitude,longitude,dt
2334.0,5.0,40.0,3.0,35.6,2022-06-21,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.490054359762446,26.45629931529665,116.44216386858324,Clouds,,scattered clouds,7.83,7.83,7.72,7.84,1021.0,89.0,10000.0,2.49,326.0,JP,35.18939303770997,137.37555653584027,2023-12-03 11:04:34
6588.0,5.0,26.0,1.0,15.87,2022-10-23,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,25.82702042246681,25.8320203527716,115.80602345918126,Clouds,,overcast clouds,5.56,5.56,4.8,6.24,1023.0,77.0,8981.0,5.01,288.0,JP,36.87319466609131,137.4383254970105,2023-12-03 11:04:34
3569.0,5.0,47.0,9.0,19.35,2023-05-25,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.476329501634545,26.44996989451058,116.44360968655464,Clouds,,broken clouds,13.1,13.1,8.94,13.1,1016.0,47.0,10000.0,3.59,320.0,JP,36.27081048923024,139.16973809897854,2023-12-03 11:04:34
5200.0,5.0,50.0,6.0,82.12,2023-02-28,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.346721030290784,26.323250233551,116.30767445421692,Clear,,clear sky,13.55,13.55,12.77,14.16,1016.0,36.0,10000.0,4.71,334.0,JP,36.00940760167098,139.67519943956066,2023-12-03 11:04:34
1589.0,5.0,10.0,1.0,96.94,2023-01-05,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.060683539188723,26.04942863776043,116.03113218855576,Clouds,,few clouds,8.19,8.19,8.19,8.19,1016.0,55.0,10000.0,2.0,302.0,JP,36.59482224931935,140.1063978753593,2023-12-03 11:04:34
1131.0,5.0,28.0,10.0,87.52,2022-07-02,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,25.69669909502851,25.69300643247149,115.6721027204315,Clouds,,few clouds,9.27,9.27,8.62,10.02,1017.0,38.0,10000.0,2.79,330.0,JP,35.93524216098544,139.1638211092121,2023-12-03 11:04:34
6998.0,5.0,23.0,4.0,84.19,2023-02-15,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.03778314651243,26.02820683258936,116.0581999153237,Clear,,clear sky,13.43,13.43,13.23,13.92,1016.0,39.0,10000.0,4.55,301.0,JP,36.15764607511822,139.7924729682626,2023-12-03 11:04:34
6946.0,5.0,47.0,9.0,53.75,2023-02-11,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.34254240368465,26.35707908881171,116.36137421858278,Clouds,,overcast clouds,5.56,5.56,4.8,6.24,1023.0,77.0,8981.0,5.01,288.0,JP,36.87319466609131,137.4383254970105,2023-12-03 11:04:34
4683.0,5.0,33.0,7.0,58.24,2022-12-07,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.533863863250428,26.50191920347098,116.56827402583716,Clouds,,overcast clouds,8.93,8.93,8.93,8.93,1022.0,60.0,10000.0,11.79,321.0,JP,38.03075465380887,136.83069947034716,2023-12-03 11:04:34
7968.0,5.0,47.0,1.0,21.08,2023-02-25,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.05202825022428,26.004058368067955,116.0529339197632,Clouds,,overcast clouds,5.56,5.56,4.8,6.24,1023.0,77.0,8981.0,5.01,288.0,JP,36.87319466609131,137.4383254970105,2023-12-03 11:04:34
7506.0,5.0,22.0,2.0,61.08,2023-04-23,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.51189265754028,26.50582870685042,116.54482212146416,Clouds,,overcast clouds,5.56,5.56,4.8,6.24,1023.0,77.0,8981.0,5.01,288.0,JP,36.87319466609131,137.4383254970105,2023-12-03 11:04:34
2335.0,5.0,34.0,10.0,54.98,2023-01-11,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,26.43909808887434,26.48309118997837,116.41646681968214,Clear,,clear sky,10.74,10.74,10.06,14.55,1015.0,56.0,10000.0,8.25,256.0,JP,35.16854240424241,139.19168233465962,2023-12-03 11:04:34
5870.0,5.0,41.0,8.0,29.89,2023-01-24,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,25.60782819253632,25.65157801473155,115.59609135468526,Snow,,light snow,0.37,0.37,0.37,0.37,1023.0,98.0,3146.0,1.56,6.0,JP,36.14554313202335,137.19859642574923,2023-12-03 11:04:34
6105.0,5.0,47.0,2.0,44.45,2023-03-07,5.0,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,-31.8129,62.5342,25.842572408631813,25.83411936003248,115.87139024713574,Clouds,,overcast clouds,5.56,5.56,4.8,6.24,1023.0,77.0,8981.0,5.01,288.0,JP,36.87319466609131,137.4383254970105,2023-12-03 11:04:34
